Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
vibrant-red-cherry-blossom-tree-approx-6ft,Vibrant Red Cherry Blossom Tree (approx 6ft),"<div class=""ng-tns-c2847674018-44""><section id=""processing-state-4"" class=""processing-state_container ng-tns-c2847674018-44 is-gpi-avatar ng-trigger ng-trigger-processingStateShowHide ng-star-inserted is-done-processing"">
<div id=""processing-state-4-summary"" class=""processing-state_details ng-trigger ng-trigger-menuExpansion ng-tns-c2847674018-44 is-gpi-avatar ng-star-inserted"" aria-hidden=""true"">
<div class=""tool-summary ng-tns-c2847674018-44"">
<div class=""tool-summary-message ng-tns-c2847674018-44 gds-body-l ng-star-inserted"">
<div class=""ng-tns-c2847674018-44"">This vibrant artificial cherry blossom tree makes a bold statement in any room, bringing the timeless beauty of spring indoors without the maintenance.</div>
</div>
</div>
</div>
</section></div>",My Store,,simple,"#HomeDecor, Apartment Decor, Artificial Plants, Decor, DECORATION, realistic plants",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,7500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/1-1.jpg?v=1775131122,1,"",false,,,,,kg,,,active
tripple-fancy-mudi-palm-plant3-3-feet-approx,Tripple Fancy Mudi Palm Plant(3.3 Feet Approx),"<p>Elegant, textured greenery that transforms any space; choose your perfect planter from our curated collection</p>",My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10191100674359,0.0,,0,deny,manual,5299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/89watermark.jpg?v=1775131120,1,"",false,,,,,kg,,,active
timeless-elegance-artificial-floral-decor-in-ceramic-pot8inch-approx,Timeless Elegance – Artificial Floral Decor in Ceramic Pot(8inch Approx),"<p>These lifelike artificial flowers in a <strong data-start=""338"" data-end=""361"">premium ceramic pot</strong> bring elegance, charm, and zero maintenance to your home or office.</p>",My Store,,simple,"Artificial Leaves, Artificial Plants, Indoor Plants, outdoor Planters, pots",true,Title,Default Title,,,,,,,,shopify_10209868579127,0.0,,0,deny,manual,2299.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsAppImage2025-06-21at9.31.06AM_1-scaled.jpg?v=1775131119,1,"",false,,,,,kg,,,active
tilt-l-metal-stand-planters-set-of-2-18-24,"Tilt L Metal Stand Planters Set Of 2 (18"", 24"")","<p><strong>Check Out Our Plants And Flowers Section For Arrangement or Filling .</strong>Lightweight metal stand planters combine durability and modern style, perfect for elevating your plants effortlessly. </p>",My Store,,simple,"Indoor Plants, Planters, stand planters, Vase",true,Title,Default Title,,,,,,,,shopify_10206819156279,0.0,,0,deny,manual,2999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsApp_Image_2025-06-20_at_4.23.15_PM.jpg?v=1775131117,1,"",false,,,,,kg,,,active
terrain-texured-fiberglass-planter36,Terrain Texured Fiberglass Planter(36),"<p><strong>Custom colors (excluding black and white) are available at an additional charge.</strong>lightweight, durable, and stylish with a natural stone look ideal for indoor or outdoor use.</p>",My Store,,simple,"Fiber Planters, Indoor Plants, Planters, stand planters",true,Title,Default Title,,,,,,,,shopify_10209212596535,0.0,,0,deny,manual,10999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsAppImage2025-06-20at3.57.38PM.jpg?v=1775799258,1,"",false,,,,,kg,,,active
tall-v-shape-fiberglass-planter-36,Tall V Shape Fiberglass Planter (36),"<p><strong>Custom colors (excluding black and white) are available at an additional charge.</strong>lightweight, durable, and stylish with a natural stone look ideal for indoor or outdoor use.</p>",My Store,,simple,"Fiber Planters, Planters",true,Title,Default Title,,,,,,,,shopify_10205995991351,0.0,,0,deny,manual,7999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsApp_Image_2025-06-19_at_3.41.46_PM.jpg?v=1775798936,1,"",false,,,,,kg,,,active
table-plants-with-green-fillers-9inch-approx-cd-1,Table Plants With Green Fillers (9inch Approx) (Cd 1),"<p><strong>Add a touch of nature to your space with our vibrant tabletop plants.""</strong></p>",My Store,,simple,"Artificial Plants, Indoor Plants, small plants, Table Plants",true,Title,Default Title,,,,,,,,shopify_10206950719799,0.0,,0,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsAppImage2025-06-18at6.49.51PM_1.jpg?v=1775800334,1,"",false,,,,,kg,,,active
stylish-green-bunch-table-plants-with-plastic-pot-cd5-9inch-approxx,Stylish Green Bunch Table Plants With Plastic Pot (Cd5) (9inch Approxx),<p><strong>Add a touch of nature to your space with our vibrant tabletop plants.</strong></p>,My Store,,simple,"Artificial Plants, Indoor Plants, small plants, Table Plants",true,Title,Default Title,,,,,,,,shopify_10206962057527,0.0,,0,deny,manual,280.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsApp_Image_2025-06-18_at_6.49.52_PM.jpg?v=1775131110,1,"",false,,,,,kg,,,active
star-leaf-double-mudi-plant-4-4-feet,Star Leaf Double Mudi Plant (5 Feet),"<p><br></p>
<ol data-is-only-node="""" data-is-last-node="""" data-end=""761"" data-start=""49"">
<li data-end=""192"" data-start=""49"">
<p data-end=""192"" data-start=""52""><strong data-end=""74"" data-start=""52"">Everlasting Beauty</strong><br data-end=""77"" data-start=""74"">Artificial blossom plants stay vibrant and in full bloom all year round—no seasonal changes, wilting, or fading.</p>
</li>
<li data-end=""325"" data-start=""194"">
<p data-end=""325"" data-start=""197""><strong data-end=""217"" data-start=""197"">Zero Maintenance</strong><br data-end=""220"" data-start=""217"">No watering, pruning, or sunlight required. Just place and enjoy effortless beauty without daily care.</p>
</li>
<li data-end=""471"" data-start=""327"">
<p data-end=""471"" data-start=""330""><strong data-end=""346"" data-start=""330"">Allergy-Free</strong><br data-end=""349"" data-start=""346"">Unlike real blossoms, faux plants don’t release pollen, making them perfect for people with allergies or sensitivities.</p>
</li>
<li data-end=""619"" data-start=""473"">
<p data-end=""619"" data-start=""476""><strong data-end=""500"" data-start=""476"">Versatile Decoration</strong><br data-end=""503"" data-start=""500"">Ideal for homes, offices, events, and weddings—artificial blossom plants bring charm and elegance to any setting.</p>
</li>
<li data-is-last-node="""" data-end=""761"" data-start=""621"">
<p data-is-last-node="""" data-end=""761"" data-start=""624""><strong data-end=""652"" data-start=""624"">Cost-Effective &amp; Durable</strong><br data-end=""655"" data-start=""652"">A one-time purchase that lasts for years, made with high-quality materials that resist damage and wear.</p>
</li>
</ol>",My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10191101755703,0.0,,0,deny,manual,8500.00,9500.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/88watermark.jpg?v=1775131109,1,"",false,,,,,kg,,,active
spider-plant2-5feet-approx,Spider Plant(2.5feet Approx),"<ul>
<li data-start=""669"" data-end=""779"">
<p data-start=""671"" data-end=""779""><strong data-start=""671"" data-end=""696"">Realistic Look &amp; Feel</strong> ,<strong data-start=""782"" data-end=""802"">Zero Maintenance</strong> ,<strong data-start=""900"" data-end=""925"">Versatile Decor Piece, </strong><strong data-start=""1000"" data-end=""1026"">Durable &amp; Long-Lasting.C</strong><strong data-start=""1000"" data-end=""1026"">hoose a planter from our Planters section to match your space.</strong></p>
</li>
</ul>",My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10201112805687,0.0,,0,deny,manual,4550.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Artboard48watermark.jpg?v=1775131108,1,"",false,,,,,kg,,,active
snake-plant6-feet-approx,Snake Plant(6 Feet Approx),"<p><strong>sleek, low-maintenance greenery; </strong>choose your planter from our exclusive collection to complete the look.</p>",My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10200946377015,0.0,,0,deny,manual,10899.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Artboard56watermark.jpg?v=1775131105,1,"",false,,,,,kg,,,active
snake-plant-m4-4feet-approx,Snake Plant (M)(4.4feet Approx),"<div class=""toggle-content is-active show-mobile toggle-content--height"" id=""tab-description-mobile"" style=""--maximum-des-to-show: 800px;"" data-product-description-10201112805687="""">
<ul>
<li data-start=""669"" data-end=""779"">
<p data-start=""671"" data-end=""779""><strong data-start=""45"" data-end=""117"">Add effortless greenery to any space with this lifelike snake plant.</strong><strong data-start=""120"" data-end=""195"">—Choose your favorite from our Planters section.</strong></p>
</li>
</ul>
</div>",My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10201109823799,0.0,,0,deny,manual,7500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Artboard47watermark.jpg?v=1775131104,1,"",false,,,,,kg,,,active
black-fiber-planter-with-golden-steel-borders,Small Fiber Planter With Golden Steel Borders,"<strong>Custom colors (excluding black and white) are available at an additional charge.</strong>Fiber planters with golden stainless steel borders offer a luxurious, lightweight, and durable solution for modern plant decor.",My Store,,simple,"Apartment Decor, Decor, DECORATION, Decorative Pot, Fiber Planters, Home Decor, Planters, pots",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,2000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/1_8342af21-d8fd-4b7c-a985-e181a7880862.jpg?v=1775131103,1,"",false,,,,,kg,,,active
black-fiber-planter-with-golden-steel-borders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/2.jpg?v=1775131103,2,"",,,,,,,,,
single-multi-color-aloe-vera-s2-6feet-approx,Single Multi Color Aloe Vera (S)(2.6feet Approx),"<p><strong data-start=""66"" data-end=""142"">Bring calm, clean vibes to any room with this realistic aloe vera plant.</strong><strong data-start=""145"" data-end=""212"">—select yours from our Planters section.</strong></p>",My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10201108513079,0.0,,0,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Artboard50watermark.jpg?v=1775131102,1,"",false,,,,,kg,,,active
single-aloe-vera-s2-3feet-approx,Single Aloe Vera (S)(2.3feet Approx),"<p><strong data-start=""66"" data-end=""142"">Bring calm, clean vibes to any room with this realistic aloe vera plant.</strong><br data-start=""142"" data-end=""145""><strong data-start=""145"" data-end=""212"">Planter sold separately—select yours from our Planters section.</strong></p>",My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10201107071287,0.0,,0,deny,manual,4800.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Artboard49watermark.jpg?v=1775131101,1,"",false,,,,,kg,,,active
sadaf-table-lamp-by-yz,Sadaf – Table Lamp By YZ,"<p data-path-to-node=""8""><b>ELEGANCE REIMAGINED. THE YZ STANDARD.</b></p>
<p data-path-to-node=""9"">In the world of <b>YZ</b>, light is the ultimate luxury. The <b>Sadaf</b> (Arabic for <i>Mother of Pearl</i>) is the embodiment of our philosophy: where ancient inspiration meets future technology.</p>
<p data-path-to-node=""10""><b>A Silhouette of Serenity</b> Drawing from the sacred geometry found in nature and the architectural fluidity of the East, the YZ Sadaf features a hypnotic, pleated facade. Its spiraling ribs evoke the protective elegance of a rare seashell, protecting the <i>Nur</i> (light) within. Every curve is intentional, designed to diffuse light into a soft, ethereal glow that transforms the mood of any room—from the executive suite to the private sanctuary.</p>
<p data-path-to-node=""11""><b>The Craftsmanship of Tomorrow</b> True luxury is responsible. The YZ Sadaf is realized through high-precision additive manufacturing, utilizing the finest <b>Eco-Grade PLA Biomass</b>. This allows us to achieve complex, organic textures impossible to replicate by hand, while remaining completely biodegradable. This is guilt-free opulence for the modern connoisseur.</p>
<p data-path-to-node=""12""><b>The YZ Promise</b> Owning a YZ piece is a statement of taste. The Sadaf stands on bespoke tripod legs, elevating the form and grounding the aesthetic. It is minimal, yet commanding.</p>
<p data-path-to-node=""13""><b>Select Your Edition</b> The YZ Sadaf is available in two exclusive sizes, curated to fit your lifestyle:</p>
<p data-path-to-node=""14,0,0""><b>The Grand Edition (Large):</b> A centerpiece that demands attention.</p>
<p data-path-to-node=""14,0,0""><i>Dimensions:</i> 20cm x 20cm x 28cm</p>
<b>The Petite Edition (Small):</b> A subtle accent of refinement.

<i>Dimensions:</i> 16cm x 16cm x 22cm

<hr data-path-to-node=""15"">

<h3 data-path-to-node=""16""><b>Technical Specifications</b></h3>
<p data-path-to-node=""17,0,0""><b>Brand:</b> YZ</p>
<p data-path-to-node=""17,1,0""><b>Model:</b> Sadaf (Signature Series)</p>
<p data-path-to-node=""17,2,0""><b>Material Composition:</b> Premium PLA (Polylactic Acid) – 100% Sustainable Bio-Polymer.</p>
<p data-path-to-node=""17,3,0""><b>Finish:</b> Matte Architectural Texture.</p>
<p data-path-to-node=""17,4,0""><b>Form Factor:</b> Organic Ribbed Sphere on Tripod Base.</p>
<p data-path-to-node=""17,5,0""><b>Sustainability Rating:</b> 100% Eco-Friendly &amp; Biodegradable</p>",My Store,,simple,"Architectural lighting design, Designer table lamp, Exclusive interior accents, High-end sustainable lighting, Modern Islamic luxury decor, Premium 3D printed art, YZ luxury home decor, YZ Sadaf collection",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,4500.00,6500.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Screenshot-2025-12-06-135543.png?v=1775131098,1,"",false,,,'1,,kg,,,active
sadaf-table-lamp-by-yz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Screenshot-2025-12-06-135600.png?v=1775131098,2,"",,,,,,,,,
sadaf-table-lamp-by-yz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Screenshot-2025-12-06-135702.png?v=1775131098,3,"",,,,,,,,,
sadaf-table-lamp-by-yz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Screenshot-2025-12-06-135648.png?v=1775131098,4,"",,,,,,,,,
sadaf-table-lamp-by-yz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Screenshot-2025-12-06-135628.png?v=1775131098,5,"",,,,,,,,,
sadaf-table-lamp-by-yz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Screenshot-2025-11-03-222144.png?v=1775131098,6,"",,,,,,,,,
sadaf-table-lamp-by-yz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Screenshot-2025-11-03-222201.png?v=1775131098,7,"",,,,,,,,,
round-white-woven-pot-gold-rim-edition,Round White Woven Pot (Gold Rim Edition),"Upgrade your home decor with this stylish White &amp; Gold Cylindrical Planter. Designed for the modern home, this pot features a 3D simulated woven texture that mimics the look of rattan basketry, paired with a striking metallic gold band at the top for a high-contrast, premium finish.",My Store,,simple,"Decor, DECORATION, Decorative Pot, Fiber Planters, Planters, pots",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,3000.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/6_cf1f407c-e310-4b01-8eb2-1226b6810917.jpg?v=1775131097,1,"",false,,,,,kg,,,active
round-white-woven-pot-gold-rim-edition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/5_aeaf4ce5-1ca6-4dfc-a224-166837d9ed53.jpg?v=1775131097,2,"",,,,,,,,,
round-palm-leaf-sticks-plant-l-6-3-feet-approx,Round Palm Leaf Sticks Plant (L) (6.3 Feet Approx),"<p><strong>natural tropical elegance,If perfectly paired with a planter of your choice from our curated collection.</strong></p>",My Store,,simple,"",true,Title,Default Title,,,,,,,,shopify_10191102705975,0.0,,0,deny,manual,11999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/Artboard34watermark.jpg?v=1775131096,1,"",false,,,,,kg,,,active
red-velvet-small-rose-bunches,Red Velvet Small Rose Bunches,"<p><strong>Reach out for stunning flower arrangements or inquire separately for bulk orders.</strong></p>
<p>A flower a day keeps the gloom away.</p>",My Store,,simple,"Artificial Flower, Artificial Plants, flowers",true,Title,Default Title,,,,,,,,shopify_10207832932663,0.0,,0,deny,manual,500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsAppImage2025-06-19at5.32.39PM_1-scaled.jpg?v=1775898543,1,"",false,,,,,kg,,,active
realistic-artificial-marigolds-flowers,Realistic Artificial Marigolds Flowers,"<p><strong>Reach out for stunning flower arrangements or inquire separately for bulk orders.</strong></p>
<p><strong>Timeless blooms made to last—shop our artificial flower bunches</strong></p>",My Store,,simple,"Artificial Flower, Artificial Plants, flowers, realistic flowers",true,Title,Default Title,,,,,,,,shopify_10207855706423,0.0,,0,deny,manual,430.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/WhatsAppImage2025-06-19at5.33.17PM-scaled.jpg?v=1775898465,1,"",false,,,,,kg,,,active
realistic-artificial-areca-palm-plant-approx-4ft,Realistic Artificial Areca Palm Plant (approx 3.5ft),"Bring a touch of the tropics to your interior with this lush artificial Areca Palm tree, designed to add a refreshing burst of greenery to any corner of your home or office.",My Store,,simple,"#HomeDecor, aesthetic, Artificial Plants, Decor, DECORATION, realistic plants",true,Title,Default Title,,,,,,,,,0.0,,0,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0714/4970/6683/files/2-1.jpg?v=1775131091,1,"",false,,,,,kg,,,active
